k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia
2,0.17317406088373322,401.61554463362387,1.9881178150781929,36689.89816553246
3,0.19303086919423124,390.2882238791382,1.7151269667310833,31065.320045921748
4,0.18594698332755313,370.12582267510237,1.5946142593723929,27404.25105223307
5,0.17616254000998782,326.6532191985372,1.6268424482767796,25604.2626251966
6,0.168395650606293,299.70337051569754,1.6683184760856047,24057.040486801696
7,0.16956922914003472,276.34254931058814,1.609749241010341,22903.98093491122
8,0.15289422463440028,256.6478846800776,1.8512340103285119,21987.294751090372
